评论,评分,分词
送给外甥的新年礼物他非常喜欢速度很快分辨率很高主要是充电速度超级快外形超级漂亮我都想再买一块了,3,送给 外甥 新年礼物 非常 喜欢 速度 很快 分辨率 高 主要 充电 速度 超级 快 外形 超级 漂亮 想 买 一块 
毫无疑问这是一款非常惊艳的手机大家看一下真的屏幕非常的靓丽还有它的外观造型画得非常的独特所以拿在手里很有分量屏幕够大玩游戏超级爽瓦的充电速度非常快所以不用担心电池电量不够用,3,毫无疑问 这是 一款 非常 惊艳 手机 一下 真的 屏幕 非常 靓丽 外观 造型 画得 非常 独特 手里 分量 屏幕 够 玩游戏 超级 爽瓦 充电 速度 非常 快 不用 担心 电池电量 不够 
手机不错游戏体验感超好游戏画面流畅充电时间的确很快拍照效果较好,3,手机 不错 游戏 体验 感超 游戏 画面 流畅 充电 时间 很快 拍照 效果 
第三款爱酷手机了一如既往信任充电很快很喜欢背面花纹很有特点轻度使用并没有明显发热的感觉打王者荣耀还是很流畅的系统也没有问题,3,第三款 爱酷 手机 一如既往 信任 充电 很快 喜欢 背面 花纹 特点 轻度 使用 没有 明显 发热 感觉 王者 荣耀 流畅 系统 没有 问题 
整体感觉很不错的充电速度很快全部充满大概也就十几分钟吧但是用电速度也很快玩和平精英两个小时就能消耗约左右的电量如果长时间玩游戏每天大概要冲两次,3,整体 感觉 不错 充电 速度 很快 充满 大概 十几分钟 用电 速度 很快 玩 和平 精英 两个 小时 消耗 约 左右 电量 长时间 玩游戏 每天 大概 要冲 两次 
货品已收到用了两天感觉没什么问题快递也很快今天抢到第二天就到了充电速度也很快双功能很喜欢,3,货品 收到 两天 感觉 没什么 问题 快递 很快 今天 抢 第二天 充电 速度 很快 双 功能 喜欢 
手机手感是真的好很漂亮高刷非常流畅玩游戏体验很好之前还犹豫要不要买现在入手后觉得是真的很棒充电巨快十来分钟直接满了续航不算强但也还不错特别是还有这种充电速度不用担心电量的问题,3,手机 手感 真的 很漂亮 高刷 非常 流畅 玩游戏 体验 之前 犹豫 不要 买 现在 入手 觉得 真的 很棒 充电 巨快 十来 分钟 直接 满 续航 不算 强 不错 特别 这种 充电 速度 不用 担心 电量 问题 
手机收到了用了几天试试拍照功能真的挺清楚拍植物夜景都很好用下次换手机还用这个牌子,3,手机 收到 几天 试试 拍照 功能 真的 挺 清楚 拍 植物 夜景 下次 换 手机 牌子 
爱了爱了真的很帅第一次用这个牌子手机我本来都准备不签收退货的因为也下单了小米但是签收一打开直接爱了这个手机真的无敌了真的太帅了手机屏幕特别好像素也高充电也快真的不是吹太棒了特别特别满意超级好看很客气的讲京东物流真的是快大家也赶紧对它下手吧颜值是真的没话说太棒了会推荐给朋友的,3,爱 爱 真的 很帅 第一次 牌子 手机 本来 准备 签收 退货 下单 小米 签收 打开 直接 爱 手机 真的 无敌 真的 太帅 手机 屏幕 特别 好像 素 高 充电 快 真的 吹 太棒了 特别 特别 满意 超级 好看 客气 讲 京东 物流 真的 快 赶紧 下手 颜值 真的 没话说 太棒了 会 推荐 朋友 
手机不错外观好看音质特别好拍照很清晰运行速度很快电池续航时间长客服服务也很好,3,手机 不错 外观 好看 音质 特别 拍照 清晰 运行 速度 很快 电池 续航 时间 长 客服 服务 
收到了很满意充电非常快手机运行大充电十五分钟充满太牛了就是充电器太大了速度刚刚的很给力,3,收到 满意 充电 非常 快 手机 运行 充电 十五分钟 充满 太牛 充电器 太大 速度 刚刚 力 
运输很快手机也是非常的帅手感很好特别是音量的传达真的是特别的给力还有手机的背面真的非常的帅那个宝马的真的帅呆了(;;;`;)我就是看上了这一点才入手的,3,运输 很快 手机 非常 帅 手感 特别 音量 传达 真的 特别 力 手机 背面 真的 非常 帅 宝马 真的 帅呆了 ( ; ; ; ` ; ) 看上 一点 入手 
挑来挑去还是选择了这款手机手感质感非常好大大的充电头太帅了京东快递太快了很好,3,挑来 挑去 选择 这款 手机 手感 质感 非常 大大的 充电 头 太帅 京东 快递 太快 
充电真的超级快充电头很大高速充电过程中会导致手机有点发热是正常现象万像素一般来说够用拍照效果也很棒体验感很强震动感也很好屏幕素质很棒外观设计很高级新的模式也很强拍照效果一级棒夜景拍的也很清晰屏幕音效感觉很好外形外观拿在手上很高级而且设计独特运行速度运行速度也很好其他特色电超级快,3,充电 真的 超级 快 充电 头 很大 高速 充电 过程 中 会 导致 手机 有点 发热 正常 现象 万 像素 一般来说 够用 拍照 效果 很棒 体验 感 强震 动感 屏幕 素质 很棒 外观设计 高级 新 模式 强 拍照 效果 一级 棒 夜景 拍 清晰 屏幕 音效 感觉 外形 外观 拿在手上 高级 设计 独特 运行 速度 运行 速度 特色 电 超级 快 
外形外观手机外观很靓丽和宝马合作的三条彩虹杠很个性非常漂亮拍照效果拍照效果很棒防抖和人像拍下来都很漂亮拍照效果很合适运行速度运行速度很快新手机很顺畅,3,外形 外观 手机 外观 靓丽 宝马 合作 三条 彩虹 杠 个性 非常 漂亮 拍照 效果 拍照 效果 很棒 防抖 拍下来 很漂亮 拍照 效果 合适 运行 速度 运行 速度 很快 新手机 顺畅 
手机完美屏幕分辨率高高刷新率看着很舒服打游戏很流畅不发热待机时间长极速充电手机这个颜色确实好看很年轻很高级,3,手机 完美 屏幕 分辨率 高高 刷新率 看着 舒服 打游戏 流畅 发热 待机时间 长 极速 充电 手机 颜色 确实 好看 年轻 高级 
外形外观白色高端大气上档次尤其是宝马三原色搭配很潮很年轻背面是光滑的肉眼看起来像磨砂的屏幕音效音效是真滴好音质杠杠滴听音乐真是享受啊拍照效果像素高万三个摄像头细节拍的也超赞有微距功能运行速度功能强大玩王者荣耀秒进很流畅待机时间待机时间较其他性能待机略差充电快难道掉电也快,3,外形 外观 白色 高端 大气 上档次 尤其 宝马 三原色 搭配 很潮 年轻 背面 光滑 肉眼 看起来 磨砂 屏幕 音效 音效 真滴 音质 杠杠 滴 听 音乐 真是 享受 拍照 效果 像素 高万 三个 摄像头 细节 拍 超赞 微距 功能 运行 速度 功能强大 玩 王者 荣耀 秒 进 流畅 待机时间 待机时间 性能 待机 略差 充电 快 难道 掉电 快 
第一次用在和之间选择了后者手机质感很好早听说品控很好看来是真实的手机比较重不过我不是很喜欢太轻的手机分外观说实话不是我喜欢的配色也没有我喜欢的配色审美这种事只能是仁者见仁智者见智不评分接下来说一下使用体验橙子系统搭配骁龙真是没的说优秀分续航毫安的电池搭配骁龙的掉电确实是比较快的好在瓦快充太给力了算是弥补了这一点缺陷基本上刷个牙的功夫插上就满电了这里顺便提一下快充让我从睡觉充电的习惯变成了早上洗漱充电舒服多了快充的加分分系统太好看了太好了太好看了总体来说是一次非常成功的购买性价比很高推荐购买,3,第一次 之间 选择 手机 质感 早 听说 品控 看来 真实 手机 比较 重 喜欢 太轻 手机 分 外观 说实话 喜欢 配色 没有 喜欢 配色 审美 这种 事 只能 仁者见仁 智者见智 评分 接下来 说 一下 使用 体验 橙子 系统 搭配 骁龙 真是 没 说 优秀 分 续航 毫安 电池 搭配 骁龙 掉电 确实 比较 快 瓦快 充太给力 算是 弥补 一点 缺陷 基本上 刷个 牙 功夫 插上 满电 顺便 提 一下 快充 睡觉 充电 习惯 变成 早上 洗漱 充电 舒服 快充 加分 分系统 太 好看 太好了 太 好看 总体 一次 非常 成功 购买 性价比 高 推荐 购买 
发货速度超快到手迫不及待开箱颜色好看手感很好机子速度用着很流畅拍摄也不错很清晰,3,发货 速度 超快 到手 迫不及待 开箱 颜色 好看 手感 机子 速度 流畅 拍摄 不错 清晰 
手感非常好磨砂质感的玻璃后盖是真的舒服手机重量也不是很重拿着也很舒适系统流畅顺滑个人对拍照要求不是很高拍照对我个人而言完全足够我现在用来评论的手机是一代到现在用着都不错除了电池消耗较大之外没啥毛病手机用来打游戏是真的丝滑流畅除了网络问题打游戏是真的非常啊我得说一下手机充电头又大又重比手机还重我的天但是为了搞这么重的充电头也没啥毛病等我体验完后再来追评,3,手感 非常 磨砂 质感 玻璃 后盖 真的 舒服 手机 重量 很重 舒适 系统 流畅 顺滑 个人 拍照 要求 高 拍照 个人 完全 足够 现在 评论 手机 一代 现在 不错 电池 消耗 较大 之外 没 毛病 手机 打游戏 真的 丝滑 流畅 网络 问题 打游戏 真的 非常 说 一下 手机 充电 头 重比 手机 还重 天 搞 重 充电 头 没 毛病 体验 完后 追评 
外形外观我买的是潜蓝色的它的蓝比较没那么张扬偏淡一点的蓝色相比的云影蓝我更喜欢云影蓝一些外观还是不错的屏幕音效网上都说这个手机的屏幕比不上屏幕我没使用过屏幕的手机不知道我有什么区别不过这个手机我觉得色彩表现上调成鲜艳就挺好的了运行速度运行速度明显比我的快多了十分的顺滑真的很顺滑待机时间待机时间的话正常使用不打游戏我觉得还算能接受王者一局百分之六左右打个三个小时没问题其他特色充电是真的快有时晚上忘记充电第二天上课前十多分钟充满了真的爽别人都说发热有问题我觉得日常不打游戏没有什么发烫现象打游戏其实没必要开顶级画质调低一个档就可以了那个档画质已经很好了要真的最好画质很多手机都发烫特别是的手机打王者是没发觉有多烫的原神我都是用电脑玩,3,外形 外观 买 潜 蓝色 蓝 比较 没 张扬 偏淡 一点 蓝色 相比 云影 蓝 更 喜欢 云影 蓝 外观 不错 屏幕 音效 网上 说 手机 屏幕 比不上 屏幕 没 使用 屏幕 手机 知道 区别 手机 觉得 色彩 表现 上调 成 鲜艳 挺 运行 速度 运行 速度 明显 快 十分 顺滑 真的 顺滑 待机时间 待机时间 正常 使用 打游戏 觉得 还算能 接受 王者 一局 百分之六 左右 打个 三个 小时 没 问题 特色 充电 真的 快 晚上 忘记 充电 第二天 上课 前 十多分钟 充满 真的 爽 说 发热 问题 觉得 日常 打游戏 没有 发烫 现象 打游戏 其实 没 必要 开 顶级 画质 调低 一个 档 档 画质 已经 真的 最好 画质 很多 手机 发烫 特别 手机 王者 没 发觉 烫 原神 电脑 玩 
外形外观颜值担当有分量屏幕音效屏幕清晰颜色靓丽拍照效果高清完美运行速度程序响应和游戏速度反应很快待机时间电池充电很快待机时间长,3,外形 外观 颜值 担当 分量 屏幕 音效 屏幕 清晰 颜色 靓丽 拍照 效果 高清 完美 运行 速度 程序 响应 游戏 速度 反应 很快 待机时间 电池 充电 很快 待机时间 长 
性价比很高算是最便宜的了吧玩游戏用速度很快也没有太翻车耗电发热都还可以充电速度惊为天人～晚上都不用一直插着充电随便什么时候充个来分钟就快充满了简直不要太爽外形外观比图片看着好看上档次屏幕音效不错拍照效果也不错运行速度很快待机时间还行轻度使用一天没问题其他特色送货速度一般早上点买的满心期待的当天送达结果第二天才送～,3,性价比 高 算是 便宜 玩游戏 速度 很快 没有 太 翻车 耗电 发热 充电 速度 惊为天人 ～ 晚上 不用 一直 插 充电 随便 充个 分钟 快 充满 简直 不要 太爽 外形 外观 图片 看着 好看 上档次 屏幕 音效 不错 拍照 效果 不错 运行 速度 很快 待机时间 行 轻度 使用 一天 没 问题 特色 送货 速度 早上 点 买 满心 期待 当天 送达 第二天 送 ～ 
手机真帅打游戏秒杀苹果关键是电池耐用不发糖流畅好用值得推荐京东太给力了真快,3,手机 真帅 打游戏 秒杀 苹果 关键 电池 耐用 不发糖 流畅 好用 值得 推荐 京东 太给力 真快 
打游戏流畅手机上手很快音效特别好充电速度快分钟就充满了系统流畅运行速度快手感超级好外观设计非常好看,3,打游戏 流畅 手机 手 很快 音效 特别 充电 速度 快 分钟 充满 系统 流畅 运行 速度 快 手感 超级 外观设计 非常 好看 
这个手机给朋友买的外观很漂亮机身轻薄屏幕高清色彩鲜艳采用今年安卓最好的旗舰处理器当然会有同样好的效果体验活动价格也便宜不少京东自营可以放心,3,手机 朋友 买 外观 很漂亮 机身 轻薄 屏幕 高清 色彩鲜艳 采用 今年 安卓 最好 旗舰 处理器 会 同样 效果 体验 活动 价格 便宜 不少 京东 自营 放心 
外形外观外观很舒适看起来很不错的样子喜欢屏幕音效画面清晰唯美挺不错屏幕是钻石排列的很好拍照效果可以自带美颜效果运行速度没问题待机时间中规中矩可以了,3,外形 外观 外观 舒适 看起来 不错 样子 喜欢 屏幕 音效 画面 清晰 唯美 挺不错 屏幕 钻石 排列 拍照 效果 自带 美颜 效果 运行 速度 没 问题 待机时间 中规中矩 
用了好几天了打游戏很爽王者吃鸡都可以开很高的画质充电也很快除了电量掉的有点快之外其他的都很不错,3,几天 打游戏 很爽 王者 吃 鸡 开 高 画质 充电 很快 电量 掉 有点 快 之外 不错 
不亏是游戏手机画面逼真外观大气玩王者荣耀一点都不卡画面流畅骁龙处理器真多很棒,3,不亏 游戏 手机 画面 逼真 外观 大气 玩 王者 荣耀 一点 不卡 画面 流畅 骁龙 处理器 真 很棒 
新机到手之后我首先审视了下颜值传奇版的颜值还是很耐看的尤其是背部磨砂玻璃上的三色条纹设计满满的;竞技;感不过对我来说更重要的还是实际游戏体验打开和平精英在流畅画质与帧帧率的设置下的平均帧率达到了妥妥的满帧率运行玩起来没有丝毫卡顿除了按压力度之外该机还可以调节震动反馈强度对于吃鸡这类游戏肯定是要;中;以上的反馈力度了尤其是满配的扫射起来非常带感另外还有一块刷新率的屏幕这块屏幕也极大的提升了游戏体验在低刷屏和高刷屏下和平精英堪称两个游戏难怪如今会选择作为官方比赛用机这样的游戏表现即便是职业玩家也挑不出什么毛病在游戏之余在其它方面的表现也不逞多让比如我关注的续航方面也表现出色本身的电池其实已经够用但还标配了的超快快充一下子就把其它手机的快充甩出一大截实测只用分钟就可以从充满,3,新机 到手 之后 审视 颜值 传奇 版 颜值 耐看 尤其 背部 磨砂玻璃 三色 条纹 设计 满满的 ; 竞技 ; 感 更 重要 实际 游戏 体验 打开 和平 精英 流畅 画质 帧 帧 率 设置 平均 帧 率 达到 妥妥 满 帧 率 运行 玩起来 没有 丝毫 卡顿 按压 力度 之外 该机 调节 震动 反馈 强度 吃 鸡 这类 游戏 肯定 ; 中 ; 反馈 力度 尤其 满配 扫射 起来 非常 带感 一块 刷新率 屏幕 这块 屏幕 极大 提升 游戏 体验 低 刷屏 高 刷屏 和平 精英 堪称 两个 游戏 难怪 如今 会 选择 官方 比赛 用机 游戏 表现 职业 玩家 挑不出 毛病 游戏 之余 方面 表现 不逞 关注 续航 方面 表现出色 电池 其实 已经 够用 标配 超 快快 充 一下子 手机 快充 甩出 一大截 实测 只用 分钟 充满 
很不错比我现在用的某果还清晰充电大气很快摄像头挺不错的超广角镜头拍的很大一部分总之非常不错准备推荐给朋友,3,不错 现在 某果 清晰 充电 大气 很快 摄像头 挺不错 超 广角镜头 拍 很大 一部分 非常 不错 准备 推荐 朋友 
已使用感觉还不错外观漂亮速度很快使用方便全五分好评,3,使用 感觉 不错 外观 漂亮 速度 很快 使用方便 全 五分 好评 
手机非常好看打游戏巨爽当之无愧的游戏手机手机拍照也十分系统用起来也很流畅骁龙用起来也是十分的给力拍照效果十分运行速度非常快屏幕音效待机时间杠杠地,3,手机 非常 好看 打游戏 巨爽 当之无愧 游戏 手机 手机 拍照 十分 系统 起来 流畅 骁龙用 起来 十分 力 拍照 效果 十分 运行 速度 非常 快 屏幕 音效 待机时间 杠杠 
已收到反应特别快挺流畅的分辨率也高玩游戏特爽值得拥有下了单第二天就收到了特别挺满意的,3,收到 反应 特别 快 挺 流畅 分辨率 高 玩游戏 特爽 值得 拥有 单 第二天 收到 特别 挺 满意 
外形外观传奇版红黑蓝三色跑道漂亮屏幕音效这屏幕打王者半天没感觉对眼睛还好拍照效果拍照没要求够用就行运行速度速度很快基本秒开毕竟配置在这待机时间充满电打王者五六个小时,3,外形 外观 传奇 版红黑 蓝三色 跑道 漂亮 屏幕 音效 屏幕 王者 半天 没 感觉 眼睛 还好 拍照 效果 拍照 没 要求 够用 就行 运行 速度 速度 很快 基本 秒 开 毕竟 配置 待机时间 充满 电打 王者 五六个 小时 
电话晚上下单早上就收到了一次买了俩个客服还可以充电是嗷嗷的快客观说也掉电这个价格是非常值的用起来手感真心不错,3,电话 晚上 下单 早上 收到 一次 买 俩个 客服 充电 嗷嗷 快 客观 说 掉电 价格 非常 值 起来 手感 真心 不错 
外形外观很满意屏幕音效特别满意拍照效果还没研究透但是像素效果特别清运行速度不错打游戏很溜待机时间长绝对快充洗脸刷牙完了也充满了最满意的产品没有白白等待那么久,3,外形 外观 满意 屏幕 音效 特别 满意 拍照 效果 没 研究 透 像素 效果 特别 清 运行 速度 不错 打游戏 溜 待机时间 长 绝对 快充 洗脸 刷牙 完 充满 满意 产品 没有 白白 等待 久 
外形外观颜色靓丽酷炫屏幕音效显示清晰声音悦耳拍照效果不错哦运行速度火龙待机时间小时其他特色很喜欢,3,外形 外观 颜色 靓丽 酷炫 屏幕 音效 显示 清晰 声音 悦耳 拍照 效果 不错 运行 速度 火龙 待机时间 小时 特色 喜欢 
很不错性能强劲屏幕很大一个手都握不住充电是真的快分钟真的能全部充满手感也特别不错综合性能都非常的优秀,3,不错 性能 强劲 屏幕 很大 一个 手都握 不住 充电 真的 快 分钟 真的 充满 手感 特别 不错 综合性 非常 优秀 
这个手机看起来还是很漂亮的了颜值好看的了非常不错的样子了玩游戏的时候很流畅的了价格便宜性价比很高的了很好用了,3,手机 看起来 很漂亮 颜值 好看 非常 不错 样子 玩游戏 流畅 价格便宜 性价比 高 
东西相当不错外观漂亮运行流畅设计很漂亮有点以前的意思玩游戏真的很给力游戏体验很棒续航没有网上说的那么菜晚上睡前充满正常使用一天第二天晚上下班回家还能有-聊聊天简单刷刷抖音没玩游戏属于用上就回不去了太快了京东物流也是给力不多说了总之购物体验不错,3,东西 相当 不错 外观 漂亮 运行 流畅 设计 很漂亮 有点 以前 意思 玩游戏 真的 力 游戏 体验 很棒 续航 没有 网上 说 菜 晚上 睡前 充满 正常 使用 一天 第二天 晚上 下班 回家 - 聊聊天 简单 刷刷 抖音 没 玩游戏 属于 回不去 太快 京东 物流 力 说 购物 体验 不错 
不太会说但有几点是非常值得肯定的一包装漂亮二手机不是太重系统反应也快充电极快待机时间也可以啦非常漂亮的手机值得拥有,3,不太会 说 几点 非常 值得 肯定 包装 漂亮 二 手机 太重 系统 反应 快 充电 极快 待机时间 非常 漂亮 手机 值得 拥有 
系统非常流畅游戏体验很棒屏幕细腻颜值爆表尤其是充电速度十几分钟就能充满太强了给儿子买的孩子爱不释手喜欢艾酷信赖京东,3,系统 非常 流畅 游戏 体验 很棒 屏幕 细腻 颜值 爆表 尤其 充电 速度 十几分钟 充满 太强 儿子 买 孩子 爱不释手 喜欢 艾酷 信赖 京东 
手机很薄新系统要慢慢适应的确比我之前的做工精致太多了电池使用还在观察中其它各方便都很好从号下单到月号拿到货新机火爆都是这样的能接受,3,手机 薄 新 系统 慢慢 适应 之前 做工 精致 太多 电池 使用 观察 中 方便 号 下单 月 号 拿到 货 新机 火爆 接受 
不得不说我充电很快分钟左右就可以充满充满后而且很耐用快充就是好处理器打游戏很顺畅外观也超喜欢拿在手上手感超好,3,不得不 说 充电 很快 分钟 左右 充满 充满 耐用 快充 处理器 打游戏 顺畅 外观 超 喜欢 拿在手上 手感 超好 
一直喜欢这款主打游戏的神机今天终于拿到了颜值不错玩游戏很爽,3,一直 喜欢 款 主打 游戏 神机 今天 终于 拿到 颜值 不错 玩游戏 很爽 
外形外观外观不错手感挺棒的很好的手感屏幕音效声音清楚可以选择屏幕刷新拍照效果拍照清晰美颜效果不错运行速度运行流畅挺不错的游戏手机不掉帧率待机时间待机还行游戏手机其他特色手机充电快不错,3,外形 外观 外观 不错 手感 挺棒 手感 屏幕 音效 声音 清楚 选择 屏幕 刷新 拍照 效果 拍照 清晰 美颜 效果 不错 运行 速度 运行 流畅 挺不错 游戏 手机 不掉 帧 率 待机时间 待机 行 游戏 手机 特色 手机 充电 快 不错 
手机很漂亮系统也很流畅拍照也清晰拍夜景也很好充电非常快,3,手机 很漂亮 系统 流畅 拍照 清晰 拍 夜景 充电 非常 快 
手机不错很喜欢性价比很喜欢想入手的小伙们可以考虑入手玩游戏很流畅也不卡速度也挺快滴非常满意材质做工非常好而且百搭手感也很棒非常实用性非常强赞,3,手机 不错 喜欢 性价比 喜欢 想 入手 小伙 考虑 入手 玩游戏 流畅 不卡 速度 挺快 滴 非常 满意 材质 做工 非常 百搭 手感 很棒 非常 实用性 非常 强赞 
手机收到了一直信赖京东很喜欢这款手机尤其是充电方面真的是超级快不会担心手机没电的烦恼感觉上个洗手间的时间就充满电了手机拿在手上很有分量而且优惠多多很划算的,3,手机 收到 一直 信赖 京东 喜欢 款 手机 尤其 充电 方面 真的 超级 快 不会 担心 手机 没电 烦恼 感觉 洗手间 时间 充满 电 手机 拿在手上 分量 优惠 多多 划算 
机器很不错比起之前用的米为感觉好系统界面独特有个性各种人性化设计喜欢这个主题早上还是花骨朵通过步行使用花朵会慢慢开放游戏音乐视频都很不错符合我的使用期待自用两机器必须的主力外形外观传奇感十足屏幕音效屏屏幕细腻音效犀利拍照效果照片锐利运行速度速度给力待机时间充电便利其他特色希望长久使用大吉大利,3,机器 不错 比起 之前 米 感觉 系统 界面 独特 个性 人性化 设计 喜欢 主题 早上 花骨朵 步行 使用 花朵 会 慢慢 开放 游戏音乐 视频 不错 符合 使用 期待 自用 两 机器 必须 主力 外形 外观 传奇 感 十足 屏幕 音效 屏 屏幕 细腻 音效 犀利 拍照 效果 照片 锐利 运行 速度 速度 给力 待机时间 充电 便利 特色 希望 长久 使用 大吉大利 
完美的性能完美的颜值完美的价格基本是可以说是满分的一台手机特效全开玩游戏的那种享受是极好的但是耗电也是挺快的不过没关系随机标配的瓦超级无敌快充解决了我的后顾之忧而且散热控制得还可以我非常满意,3,完美 性能 完美 颜值 完美 价格 基本 说 满分 一台 手机 特效 全开 玩游戏 那种 享受 极好 耗电 挺快 没关系 随机 标配 瓦 超级 无敌 快充 解决 后顾之忧 散热 控制 非常 满意 
手机真不错非常好看质感很好拍照清晰游戏也不卡内存大用起来很流畅非常满意,3,手机 真不错 非常 好看 质感 拍照 清晰 游戏 不卡 内存 起来 流畅 非常 满意 
很棒的一款游戏手机目前最强的骁龙处理器有高刷压感屏等等玩游戏很爽这手机最的一点就是的超级快充,3,很棒 一款 游戏 手机 目前 最强 骁龙 处理器 高刷 压感 屏 玩游戏 很爽 手机 一点 超级 快充 
刚拿到手机的那一刻被这外形惊到了漂亮的外形加上我喜欢的线条拍照效果非常清晰玩游戏非常顺畅待机时间长充电非常快,3,刚 拿到 手机 那一刻 外形 惊到 漂亮 外形 加上 喜欢 线条 拍照 效果 非常 清晰 玩游戏 非常 顺畅 待机时间 长 充电 非常 快 
第一次用手机就冲骁龙买的一次很满意的购机体验收到手机后全屏拍摄视觉很好像素超清晰音质也是没得说反应快内存大现还没未感觉出它的缺点手机壳透明色不太喜欢简直了没得说,3,第一次 手机 骁龙 买 一次 满意 购机 体验 收到 手机 全屏 拍摄 视觉 好像 素超 清晰 音质 没得说 反应 快 内存 大现 没 未 感觉 出 缺点 手机 壳 透明 色不太 喜欢 简直 没得说 
手机还是很不错的速度很快玩游戏不卡有加速按压挺不错的拍照够用充电真的是非常快啊买的蓝色的挺漂亮的总体很不错哦,3,手机 不错 速度 很快 玩游戏 不卡有 加速 按压 挺不错 拍照 够用 充电 真的 非常 快 买 蓝色 挺 漂亮 总体 不错 
手机已经用了两天了非常的流畅各方面都很优秀最满意的就是快充十五分钟充满得劲,3,手机 已经 两天 非常 流畅 方面 优秀 满意 快充 十五分钟 充满 劲 
外形外观比想象中的好看屏幕音效对比我的强很多拍照效果这个真可以很不错运行速度速度很快待机时间我说性能全开耗电一般续航能力可以其他特色就是我不大喜欢它这桌面好纠结我下的应用太多了,3,外形 外观 想象 中 好看 屏幕 音效 强 很多 拍照 效果 真 不错 运行 速度 速度 很快 待机时间 说 性能 全开 耗电 续航 能力 特色 不大 喜欢 桌面 纠结 我下 应用 太多 
外观漂亮操作顺畅配合新系统无与伦比骁龙超高性价比支持国货国货当自强,3,外观 漂亮 操作 顺畅 配合 新 系统 无与伦比 骁龙超 高性价比 支持 国货 国货 当自强 
大品牌家人用着很好总体来说活动物美价廉外形外观漂亮感觉不错屏幕音效声音大音质清楚拍照效果像素高很清晰运行速度速度快不错待机时间时间长能用两天其他特色物流快,3,品牌 家人 总体 活动 物美价廉 外形 外观 漂亮 感觉 不错 屏幕 音效 声音 音质 清楚 拍照 效果 像素 高 清晰 运行 速度 速度 快 不错 待机时间 时间 长能 两天 特色 物流 快 
外形外观非常大气直观盛很强做工很好装了那么多的硬件在里面手机挺重的屏幕音效屏幕色彩很好拍照效果拍照也不错清晰度跟我荣耀差不多运行速度新机速度肯定快待机时间这个后面再追评其他特色居中打孔这个手机整体看起来很高端,3,外形 外观 非常 大气 直观 盛 强 做工 装 硬件 里面 手机 挺重 屏幕 音效 屏幕 色彩 拍照 效果 拍照 不错 清晰度 荣耀 差不多 运行 速度 新机 速度 肯定 快 待机时间 后面 追评 特色 居中 打孔 手机 整体 看起来 高端 
刚好需要换手机就看到出新机了赶紧预定了一部今天刚拿到手之前用的也是的手机互传真的很方便打游戏好爽震感十足新系统正在研究中感觉还不错配的耳机也很好用,3,刚好 需要 换 手机 看到 出 新机 赶紧 预定 一部 今天 刚 拿到 手 之前 手机 互传 真的 方便 打游戏 好爽 震感 十足 新 系统 正在 研究 中 感觉 不错 配 耳机 
我觉得这个手机界面用的很不喜欢还在研究外形外观细长细长的握持感行屏幕音效不是什么特别的惊喜拍照效果一般运行速度用着顺畅无卡顿待机时间很短但充电快绝对的快其他特色发热,3,觉得 手机 界面 喜欢 研究 外形 外观 细长 细长 握持 感行 屏幕 音效 特别 惊喜 拍照 效果 运行 速度 顺畅 无卡顿 待机时间 短 充电 快 绝对 快 特色 发热 
外形外观设计非常好手机整体手感也非常好屏幕音效采用双扬声器屏幕拍照效果拍照效果贼好尤其是夜景运行速度采用骁龙性能没得说待机时间待机时间没有那么拉胯充电速度贼快,3,外形 外观设计 非常 手机 整体 手感 非常 屏幕 音效 采用 双 扬声器 屏幕 拍照 效果 拍照 效果 贼 尤其 夜景 运行 速度 采用 骁龙 性能 没得说 待机时间 待机时间 没有 拉 胯 充电 速度 贼 快 
外形外观非常漂亮屏幕音效刷新率很爽刷新闻很流畅拍照效果挺好的运行速度挺强的非常好还在试用新的系统,3,外形 外观 非常 漂亮 屏幕 音效 刷新率 很爽 刷 新闻 流畅 拍照 效果 挺 运行 速度 挺强 非常 试用 新 系统 
帮朋友买的非常合适入手目前性价比最高的手机性能好拍照也不差主要是发热控制的好比其他同芯片的手机都要好打游戏日常使用都不会很热自己都想换这个手机了,3,帮 朋友 买 非常 合适 入手 目前 性价比 最高 手机 性能 拍照 不差 主要 发热 控制 好比 芯片 手机 打游戏 日常 使用 不会 热 想 换 手机 
充电速度特别快早上起来插上电来分钟就基充满了手机机运行速度很满意指纹识别很快拍照和屏幕效果能够满足日常需求直屏玩游戏比较好不会误触,3,充电 速度 特别 快 早上 起来 插上 电来 分钟 基 充满 手机 机 运行 速度 满意 指纹识别 很快 拍照 屏幕 效果 能够 满足 日常 需求 直屏 玩游戏 比较 不会 误触 
昨晚下单第二天就收到了京东给力到家迫不及待的打开试玩了一下用着感觉非常舒服玩游戏一点也不卡顿充电非常快十五分钟就充满了,3,昨晚 下单 第二天 收到 京东 给力 家 迫不及待 打开 试玩 一下 感觉 非常 舒服 玩游戏 一点 不卡顿 充电 非常 快 十五分钟 充满 
外形外观外形可以屏幕音效可以拍照效果比苹果感觉号运行速度作为人生中的第一款国产手机很惊讶用了年苹果了因为苹果信号不好第一次买国产被惊艳到了待机时间没测试过其他特色第一次跑分我居然用我的跑分直接登第一了,3,外形 外观 外形 屏幕 音效 拍照 效果 苹果 感觉 号 运行 速度 人生 中 第一款 国产手机 惊讶 年 苹果 苹果 信号 不好 第一次 买 国产 惊艳 待机时间 没 测试 特色 第一次 跑 分 居然 跑 分 直接 登 第一 
